name,Vocabularies/English,Vocabularies/Arabic,Vocabularies/Day
Week 1,Housemaster,????,1
,Refectory,????,1
,Boarder,????? ??????,1
,Bunk Bed,????,1
,Cupboard,?????,1
,Pillow,?????,1
,Uniform,???,1
,Bed Sheet,????,1
,Broom,?????,1
,Trash Can,????? ,1
,appreciate / appreciation,?????,2
,internship,??? ??????,2
,bargain,???? - ?????,2
,trade/purchase,????? - ?????,2
,representative,?????,2
,company,????,2
,foundation,?????,2
,colonialism,??????,2
,association,?????,2
,public speaking,?????,2
,Machine,???,3
,Energy,????,3
,Force,????,3
,Motion,????,3
,Speed,????,3
,Velocity,????,3
,Gravitation,??? ????????,3
,Wave,???,3
,Light,???,3
,Electricity,??????,3
,1. Soccer/Football 2. Ball,??? ?????,4
,1. Badminton 2. Racket 3. Shuttlecock,???? - ??? ??????,4
,1. Table Tennis 2. Bat,???? - ??? ???????,4
,1. Swimming 2. Swimming Pool,?????? - ???????,4
,Field,????? - ????,4
,Player,????,4
,Sport,???????,4
,1. Win 2. Lose,????? - ????,4
,Play,??? / ????,4
,Spectator,?????,4
,Demand,???,5
,Investment,???????,5
,Initiative,??????,5
,Auspices,?????,5
,Ambitious,?????,5
,Behavior,????,5
,Commitment,??????,5
,Desire,????,5
,Discipline,???,5
,Empathy,?????,5
