Week Name,Vocabularies/English,Vocabularies/Arabic,Vocabularies/Day
Week 1 - revised,Housemaster,مشرف,1
,Refectory,مطعم,1
,Boarder,تلميذ المقيم,1
,Bunk Bed,سرير,1
,Cupboard,خزانة,1
,Pillow,وسادة,1
,Uniform,زيّ,1
,Bed Sheet,لحاف,1
,Broom,مكنسة,1
,Trash Can,مزبلة ,1
,appreciate / appreciation,تقدير,2
,internship,عمل تجريبي,2
,bargain,ساوم - يساوم,2
,trade/purchase,اشتري - يشتري,2
,representative,مندوب,2
,company,شركة,2
,foundation,مؤسسة,2
,colonialism,احتلال,2
,association,رابطة,2
,public speaking,خطابة,2
,Machine,آلة,3
,Energy,طاقة,3
,Force,قوّة,3
,Motion,حركة,3
,Speed,سرعة,3
,Velocity,عجلة,3
,Gravitation,قوة الجاذبية,3
,Wave,موج,3
,Light,ضوء,3
,Electricity,كهرباء,3
,1. Soccer/Football 2. Ball,كرة القدم,4
,1. Badminton 2. Racket 3. Shuttlecock,مضرب - كرة الريشة,4
,1. Table Tennis 2. Bat,مضرب - كرة الطاولة,4
,1. Swimming 2. Swimming Pool,المسبح - السباحة,4
,Field,ميدان - ملعب,4
,Player,لاعب,4
,Sport,الرياضة,4
,1. Win 2. Lose,مغلوب - غالب,4
,Play,لعب / يلعب,4
,Spectator,مشاهد,4
,Demand,طلب,5
,Investment,استثمار,5
,Initiative,مبادرة,5
,Auspices,رعاية,5
,Ambitious,طمّاح,5
,Behavior,سلوك,5
,Commitment,التزام,5
,Desire,رغبة,5
,Discipline,أدب,5
,Empathy,تعاطف,5
